"Estacion","Fecha inicial","Fecha final","P","VViento","DViento","PLiquida","PM2.5","PM10","HAire10","TAire10","NO2","O3","SO2","CO"
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-11-01","","591.704","1.284","203.4","0.0","7.072","15.924","65.0","19.292","","","",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-10-31","","593.2125","1.4375","243.75","0.21125","10.875","21.9375","69.25","17.3125","","","",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-10-30","","593.41666667","0.54166667","195.0","2.13708333","13.94583333","28.8125","75.33333333","16.85","2.6375","20.69166667","3.6","370.4625"
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-10-29","","592.5625","0.45","207.1875","0.56083333","10.88333333","21.875","75.125","17.30833333","7.44705882","30.65238095","1.50909091","464.00833333"
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-10-28","","591.73333333","0.5","149.0625","0.07333333","10.0875","24.5625","73.54166667","17.62916667","5.56666667","34.545","1.3","387.66666667"
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-10-27","","591.61666667","0.74583333","148.125","1.45","11.54166667","23.9375","70.625","17.88333333","6.68571429","35.3","1.4","448.32916667"
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-10-26","","591.50416667","0.77916667","157.5","0.0425","9.6625","23.19583333","69.375","18.35416667","5.725","32.57727273","1.86666667","413.8"
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-10-25","","592.35416667","0.71666667","121.875","0.01041667","9.54583333","18.925","69.20833333","19.07083333","9.7","29.45","1.86","374.625"
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-10-24","","593.42916667","0.47083333","152.8125","0.1375","","","71.5","17.37083333","3.48888889","31.83333333","1.55","398.9125"
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-10-23","","592.55833333","0.53333333","226.875","1.07916667","8.99166667","21.82916667","75.45833333","17.22916667","8.225","42.225","1.4125","427.11666667"
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2020-10-22","","591.69583333","0.925","171.5625","0.12708333","7.375","20.27916667","65.25","19.4","10.26875","27.0","1.55","393.99166667"
