"Estacion","Fecha inicial","Fecha final","NO2","VViento","O3","DViento","PLiquida","PM2.5","SO2","PM10","RGlobal","HAire10","CO","TAire10","P"
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2022-01-01","","7.59583333","0.7375","31.45","111.5625","0.0","15.94583333","1.82416667","22.95833333","65.275","86.79583333","953.9375","17.4375",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-31","","13.08333333","0.72916667","32.54583333","124.6875","0.0","13.65416667","1.97291667","23.42083333","195.425","81.84583333","1023.9125","16.99166667",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-30","","14.44583333","0.97777778","28.25","116.25","0.0","8.925","2.11652174","17.2","194.68888889","80.60555556","1013.97916667","17.35",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-29","","16.6625","0.52083333","21.625","90.9375","0.0","9.49166667","2.82458333","18.8","97.1","87.74166667","975.8625","17.29583333",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-28","","16.74285714","","17.66363636","","","10.99583333","2.473","21.20833333","","","951.65217391","17.4375",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-27","","16.00416667","0.35217391","26.75833333","144.7826087","0.60782609","8.425","2.62416667","16.625","87.86956522","88.60869565","905.04583333","16.925",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-26","","8.8","0.96666667","29.85416667","126.5625","0.03166667","11.10416667","1.83666667","20.11666667","214.25","81.08333333","1040.25","18.23333333",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-25","","9.56333333","0.61666667","30.19166667","100.3125","0.0","14.7125","1.80291667","24.7","170.70833333","81.625","942.59583333","18.25416667",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-24","","10.69291667","0.80416667","30.52608696","76.875","0.02083333","10.08333333","1.88125","17.54583333","175.54166667","82.91666667","951.67916667","18.05416667",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-23","","11.885","0.725","25.20416667","111.5625","0.0","8.00416667","2.07666667","15.81666667","202.625","83.41666667","996.37916667","17.42083333",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-22","","15.08333333","0.7625","23.38333333","138.75","0.0","10.4125","2.63","21.1","164.41666667","83.04166667","948.09583333","17.78333333",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-21","","22.48333333","0.42916667","22.03913043","210.0","0.0","14.92916667","2.26166667","28.38333333","97.5","86.0","962.98333333","17.14166667",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-20","","15.93333333","0.5625","26.00416667","120.0","0.0","11.35416667","2.74708333","21.58333333","161.45833333","82.83333333","867.5375","18.0875",""
"ESTACION SAN ANTONIO MONITOREO CONTINUO","2021-12-19","","11.44583333","0.61666667","28.19583333","127.5","0.01041667","9.20833333","1.98916667","17.27083333","182.95833333","83.04166667","657.90833333","17.54583333",""
