"Estacion","Fecha inicial","Fecha final","VViento","O3","DViento","PLiquida","HAire10","CO","NO2","P","PM2.5","SO2","PM10","RGlobal","TAire10"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-17","","0.95652174","37.42608696","167.72727273","1.46086957","84.08695652","855.70434783","8.63043478","590.51666667","9.75652174","1.34545455","19.99130435","200.30434783","18.76086957"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-16","","0.60833333","19.61363636","214.77272727","0.05416667","87.58333333","990.60434783","17.35882353","590.31818182","8.61363636","1.375","18.85454545","146.20833333","18.0"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-15","","0.625","40.84583333","227.04545455","0.17541667","86.79166667","795.82083333","7.375","590.175","6.06666667","1.38461538","14.72916667","101.58333333","17.84166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-14","","0.56666667","35.0875","135.97826087","0.03166667","82.58333333","947.25833333","14.50555556","589.59166667","9.26666667","1.5875","21.375","173.04166667","19.19166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-13","","0.812","41.604","147.6","0.0","83.36","860.688","6.72142857","589.95416667","10.412","1.32777778","20.532","246.0","18.788"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-12","","0.6625","37.52916667","106.875","0.02083333","84.125","919.10416667","10.49411765","589.99583333","9.89583333","1.41052632","19.2125","129.20833333","18.35833333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-11","","1.1375","43.10833333","114.54545455","0.0","81.41666667","863.7125","11.12941176","589.55416667","9.97083333","1.49583333","21.74166667","212.0","19.2375"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-10","","0.96521739","36.09130435","163.36956522","0.01304348","83.39130435","907.71304348","11.4","589.71666667","13.18695652","1.42380952","24.64347826","222.2173913","18.73043478"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-09","","0.90833333","44.42083333","140.625","0.0375","83.125","898.03333333","16.97333333","589.84166667","11.6375","1.37368421","24.15","207.125","19.10833333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-08","","0.64583333","30.17916667","132.1875","0.0125","84.875","801.04166667","8.64375","590.28333333","9.6375","1.26","19.875","170.25","18.7375"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-07","","0.48333333","35.17916667","107.38636364","0.0","88.08333333","747.30833333","6.64615385","590.79583333","7.15","1.39230769","14.9","165.625","17.64166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-06","","0.316","34.004","111.52173913","0.4872","90.24","709.872","9.7","590.59583333","7.836","1.2","14.712","113.48","17.364"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-05","","0.67916667","43.20833333","144.375","0.29583333","84.83333333","746.03333333","9.51875","590.125","10.00416667","1.26923077","17.39583333","211.20833333","18.07916667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-04","","0.71666667","36.35","110.54347826","0.26666667","87.08333333","700.74166667","7.45625","590.04166667","7.675","1.27777778","14.8","172.66666667","17.55"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-03","","1.30869565","27.57142857","219.13043478","0.13913043","84.95652174","676.37692308","10.2625","590.30833333","4.86818182","2.24","12.92272727","207.73913043","17.75217391"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-02","","0.50833333","31.97083333","177.06521739","0.3","89.875","596.37777778","14.18333333","590.55416667","7.14583333","1.84285714","14.32083333","148.54166667","16.54166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-11-01","","0.17916667","36.82916667","123.21428571","1.12458333","92.33333333","828.0125","12.60526316","590.37916667","4.8375","1.13333333","10.62916667","101.625","16.52083333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-31","","0.50416667","39.49166667","166.875","2.265","86.04166667","716.5625","5.72777778","590.49166667","4.41666667","1.12857143","10.70833333","152.20833333","17.60833333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-10-30","","0.628","32.732","173.4375","0.9952","89.04","709.244","6.67142857","590.49166667","6.544","1.225","12.564","182.48","17.268"
